City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
214,Buala,-8.14,159.59,84.38,75,34,7.43,SB,2020-04-20 04:18:14,light rain,2.04,0
215,San Jose,37.34,-121.89,57.99,62,40,11.41,US,2020-04-20 04:16:43,scattered clouds,0,0
216,Ulcinj,41.93,19.22,55.4,82,75,2.24,ME,2020-04-20 04:22:33,broken clouds,0,0
217,New Norfolk,-42.78,147.06,62.01,72,98,8.99,AU,2020-04-20 04:15:57,light rain,1.35,0
218,Clyde River,70.47,-68.59,-11.2,69,1,4.7,CA,2020-04-20 04:18:12,clear sky,0,0
219,Kholm,59.27,32.85,30.87,98,21,3.22,RU,2020-04-20 04:22:34,few clouds,0,0
220,Ucluelet,48.93,-125.55,51.01,86,15,2.73,CA,2020-04-20 04:12:51,few clouds,0,0
221,Wiarton,44.74,-81.13,32.0,82,5,5.82,CA,2020-04-20 04:22:34,clear sky,0,0
222,Sao Joao Da Barra,-21.64,-41.05,69.08,84,99,7.09,BR,2020-04-20 04:22:35,overcast clouds,0,0
223,Avera,33.19,-82.53,57.2,95,90,6.93,US,2020-04-20 04:16:05,moderate rain,0,0
224,Quatre Cocos,-20.21,57.76,75.2,88,40,11.41,MU,2020-04-20 04:16:55,shower rain,0,0
225,Hvide Sande,56.0,8.13,44.17,61,0,4.94,DK,2020-04-20 04:17:50,clear sky,0,0
226,Adre,13.47,22.2,70.57,16,95,8.81,TD,2020-04-20 04:22:35,overcast clouds,0,0
227,Sobolevo,54.43,31.9,30.4,95,5,8.72,RU,2020-04-20 04:17:38,clear sky,0,0
228,Kalanguy,51.02,116.52,24.44,60,100,18.7,RU,2020-04-20 04:22:36,overcast clouds,0,0
229,Pimentel,-6.84,-79.93,71.02,81,59,13.42,PE,2020-04-20 04:22:36,broken clouds,0,0
230,Zaysan,47.47,84.87,60.17,29,0,4.43,KZ,2020-04-20 04:22:36,clear sky,0,0
231,Burnie,-41.07,145.92,61.0,49,40,15.01,AU,2020-04-20 04:22:37,light rain,1.42,0
232,Itarema,-2.92,-39.92,77.07,87,21,1.95,BR,2020-04-20 04:22:37,few clouds,0,0
233,Biankouma,7.74,-7.61,70.32,81,70,3.13,CI,2020-04-20 04:22:37,broken clouds,0,0
234,Cochabamba,-17.39,-66.16,53.6,71,8,3.36,BO,2020-04-20 04:22:37,clear sky,0,0
235,Sola,-13.88,167.55,89.6,75,40,5.82,VU,2020-04-20 04:16:58,scattered clouds,0,0
236,Saint-Augustin,51.23,-58.65,28.54,98,100,17.11,CA,2020-04-20 04:17:33,snow,0,3.19
237,Anloga,5.79,0.9,82.89,78,73,10.96,GH,2020-04-20 04:22:38,broken clouds,0,0
238,Tessalit,20.2,1.01,78.04,33,0,8.21,ML,2020-04-20 04:16:02,clear sky,0,0
239,Yekepa,7.58,-8.54,70.41,85,98,2.15,LR,2020-04-20 04:22:39,light rain,0.34,0
240,Kahului,20.89,-156.47,80.6,54,75,10.29,US,2020-04-20 04:16:26,broken clouds,0,0
241,Chicama,-7.84,-79.15,73.51,70,7,6.55,PE,2020-04-20 04:22:39,clear sky,0,0
242,Khorramshahr,30.44,48.17,71.6,64,100,2.24,IR,2020-04-20 04:22:39,overcast clouds,0,0
243,Awbari,26.59,12.78,80.02,16,91,18.05,LY,2020-04-20 04:22:39,overcast clouds,0,0
244,Tasiilaq,65.61,-37.64,32.0,90,100,6.93,GL,2020-04-20 04:16:48,overcast clouds,0,0
245,Huescar,37.81,-2.54,57.99,86,41,4.0,ES,2020-04-20 04:22:40,scattered clouds,0,0
246,Prainha,-1.8,-53.48,72.63,97,100,1.5,BR,2020-04-20 04:22:40,light rain,0.55,0
